Filename,Sentence,Gender,Accent,Eleven_Labs_voice,train_or_val,region,spoof_or_real
north_america_v1_t_output_67,"During my research project, I made the important discovery that a certain combination of",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_68,"Despite feeling unsure of my abilities, I pushed through my self-doubt",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_69,Volunteering at a local animal shelter made me feel connected to a larger,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_70,The most beautiful thing I've ever witnessed was a breathtaking sunrise over the ocean,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_71,One question that has always intrigued me is why some people are more prone to,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_72,The feeling of reaching the top after a long climb is a mix of exhaustion,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_73,The vastness of the ocean fills me with a sense of awe and insign,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_74,"She sat on the edge of the dock, swinging her legs back and forth",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_75,The first time I felt truly understood was when my best friend listened to me,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_76,I remember the time when I got lost in a foreign city with no phone,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_77,"The most interesting book I've ever read is ""1984"" by George",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_78,I never knew that bees communicate with each other through intricate dances until I watched,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_79,I found the perfect gift for my best friend's birthday - a personalized necklace,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_80,"""It does not do to dwell on dreams and forget to live",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_81,"I once helped a homeless man find a job and a place to stay,",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_82,The happiest moment of my life was when I held my newborn baby in my,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_83,"It is difficult to predict with certainty, but in 100 years, the",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_84,"As I wandered through the carnival, I stumbled upon a hidden tunnel that led",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_85,I never knew I could paint until one day I picked up a brush and,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_86,"The first time I rode a rollercoaster, I felt a mix of",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_87,Collecting vintage typewriters and restoring them to working condition brings me immense,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_88,I once stopped to help a stranger change a flat tire on the side of,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_89,"I spent the day hiking through the mountains, breathing in the fresh air and",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_90,The moment I traveled to a developing country and witnessed firsthand the poverty and lack,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_91,The time my dog stole a slice of pizza off my plate and ran around,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_92,I witnessed my friend give up their own birthday celebration to volunteer at a homeless,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_93,"Standing on the summit of the mountain, I felt like I was on top",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_94,I was having a rough day and a stranger at the grocery store paid for,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_95,"I made a new friend while waiting in line at the grocery store, and",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_96,When my family surprised me with a birthday party filled with all of my favorite,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_97,The most exhilarating adventure of my life was when I went skydiving,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_98,I was moved to tears by the heartfelt speech my best friend gave at my,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_99,"A shadowy figure appeared at the edge of the forest, illuminated by flashes",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_100,The feeling of being completely present in nature is one of profound peace and connection,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_101,"In this world, the air is filled with the chatter of animals communicating with",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_102,"The sky was painted in hues of pink, orange, and purple as the",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_103,I admire my grandmother because of her unwavering strength and resilience in the,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_104,What advice would you give me to navigate the challenges and opportunities that lie ahead,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_105,"As I pushed aside the overgrown vines, a hidden door was revealed,",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_106,"I've always wanted to try skydiving, free falling from a plane",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_107,"One time, I was feeling extremely stressed out and overwhelmed with work and personal",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_108,"My favorite things are cozy blankets, hot cups of tea, and good books",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_109,The most important lesson I've ever learned is to always treat others with kindness,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_110,I stopped to help a stranded motorist change a flat tire on the side,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_111,I was completely shocked when I received a job offer for a position I had,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_112,"While wandering through the park, I stumbled upon a group of elderly men playing",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_113,The moment I successfully completed my first marathon after months of training and doubting,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_114,The peaceful serenity of the forest envelops me as I am surrounded by,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_115,The first time I realized I could accomplish something I didn't think was possible,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_116,"The moment I held my newborn baby in my arms for the first time,",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_117,The day I received my acceptance letter to my dream college brought me overwhelming joy,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_118,"I witnessed a stunning display of the Northern Lights dancing across the night sky,",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_119,My hope is to make a positive impact on the world by using my talents,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_120,The best gift I've ever given was a handmade photo album filled with memories,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_121,I embraced a new opportunity when I decided to study abroad in a different country,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_122,"The sun setting over the Grand Canyon, casting a golden glow over the vast",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_123,"On my first day in the new city, I explored the bustling streets,",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_124,"The sky was painted in hues of pink, orange, and purple as the",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_125,"My house is a whimsical wonderland made of gingerbread walls, candy",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_126,I was shocked when I won the lottery after buying a ticket on a whim,female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_127,"Amidst the chaos of a crowded city street, I found peace in",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_128,"Sitting by the calm, serene lake with the sound of the gentle l",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_129,"I've always wanted to try skydiving, feeling the rush of free",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v1_t_output_130,"The bustling city park is filled with animals of all shapes and sizes, chatting",female,Canadian,Danielle,train,north america (us and canada),spoof
north_america_v_output_131,"One time, I was attending a networking event for young professionals in my city",male,American,David,train,north america (us and canada),spoof
north_america_v_output_132,"My house is a whimsical wonderland made of colorful candy walls, a",male,American,David,train,north america (us and canada),spoof
north_america_v_output_133,"During a particularly difficult time in my life, I found hope when a friend",male,American,David,train,north america (us and canada),spoof
north_america_v_output_134,"The day I received my dream job offer, found out I was accepted into",male,American,David,train,north america (us and canada),spoof
north_america_v_output_135,I felt empowered to speak my truth when I stood up in front of a,male,American,David,train,north america (us and canada),spoof
north_america_v_output_136,"When I moved to a new city for college, I learned to embrace change",male,American,David,train,north america (us and canada),spoof
north_america_v_output_137,I felt a sense of exhilaration and wonder as I ventured into the dense,male,American,David,train,north america (us and canada),spoof
north_america_v_output_138,I was overjoyed when I received a surprise visit from my best friend,male,American,David,train,north america (us and canada),spoof
north_america_v_output_139,"The bustling streets are filled with hover cars zipping by, neon lights illumin",male,American,David,train,north america (us and canada),spoof
north_america_v_output_140,My favorite place to relax is curled up on the couch with a cozy blanket,male,American,David,train,north america (us and canada),spoof
north_america_v_output_141,The most beautiful thing I've ever witnessed was a vibrant sunset over the ocean,male,American,David,train,north america (us and canada),spoof
north_america_v_output_142,I found joy in the little things when I watched the sunrise and heard the,male,American,David,train,north america (us and canada),spoof
north_america_v_output_143,The most important lesson I've learned in life is to always be true to,male,American,David,train,north america (us and canada),spoof
north_america_v_output_144,The feeling of being completely present in nature is a sense of peace and connection,male,American,David,train,north america (us and canada),spoof
north_america_v_output_145,"A shadowy figure appeared at the edge of the forest, illuminated only by",male,American,David,train,north america (us and canada),spoof
north_america_v_output_146,"After failing my driving test for the third time, I found the courage to",male,American,David,train,north america (us and canada),spoof
north_america_v_output_147,The feeling of having a secret is like holding onto a thrilling and exhilarating,male,American,David,train,north america (us and canada),spoof
north_america_v_output_148,"My favorite childhood memory is spending summers at my grandparents' house, playing in",male,American,David,train,north america (us and canada),spoof
north_america_v_output_149,"I decided to try rock climbing for the first time and was terrified, but",male,American,David,train,north america (us and canada),spoof
north_america_v_output_150,I surprised myself with my ability to speak in front of a large audience with,male,American,David,train,north america (us and canada),spoof
north_america_v_output_151,I learned the hard way to always double-check important emails before hitting send when,male,American,David,train,north america (us and canada),spoof
north_america_v_output_152,"One of my favorite questions that someone asks in an interview is ""Can you",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_153,The last time I laughed uncontrollably was when my friend told a hilarious,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_154,I was completely caught off guard when my boss announced that I had been promoted,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_155,"As the sun set over the festival grounds, I found myself lost in the",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_156,The most valuable lesson I've learned in life is that true happiness comes from,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_157,"I would love to master the skill of playing the piano, being able to",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_158,"The feeling of completing a big project is a mix of relief, satisfaction,",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_159,I hope you are proud of the person you have become and the choices you,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_160,The first time I felt truly independent was when I moved out of my parents,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_161,The last time I felt a sense of wonder was when I witnessed a breathtaking,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_162,I was incredibly proud when I completed my first marathon after months of training and,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_163,The most thrilling moment of my life was when I skydived for the,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_164,I felt deeply proud of myself when I successfully completed my first marathon after months,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_165,As I watched the sunset over the ocean with my loved ones by my side,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_166,The feeling of reaching the top after a long climb is a mix of exhaustion,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_167,I made an unforgettable first impression when I confidently delivered a flawless presentation in front,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_168,I felt a sense of wonder and excitement as I navigated through the bustling,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_169,I discovered a charming little cafe tucked away in a quiet alley while exploring a,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_170,"In this topsy-turvy world, buildings hang from the sky,",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_171,"The moment I saw my childhood home being torn down, I realized that things",male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_172,I was pleasantly surprised when my friend threw me a surprise birthday party with all,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_173,I witnessed something magical when I saw a double rainbow appear in the sky after,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_174,I learned to embrace change when I moved to a new city for a job,male,American,David,train,north america (us and canada),spoof
north_america_v1_t_output_175,"As I stood on the edge of the cliff, preparing to jump into the",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_176,"My favorite childhood memory is spending summers at my grandparents' house, playing in",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_177,The overwhelming sense of awe and insignificance as the vastness of the ocean,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_178,I was sad when my best friend moved away because I felt like I had,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_179,My favorite way to relax after a busy day is to unwind with a hot,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_180,"We danced until the early hours of the morning, laughing and making memories that",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_181,I remember a time when I was going through a difficult period in my life,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_182,The most adventurous thing I've ever done was skydiving from 15,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_183,I felt a sense of accomplishment when I finally mastered the art of playing the,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_184,"Despite my initial self-doubt, I pushed myself to try out for",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_185,"During a difficult time in my life, a friend's heartfelt words of encouragement",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_186,"From afar, Earth appears as a breathtakingly beautiful blue and green orb,",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_187,"On a trip to the remote island of Madagascar, I encountered lemurs swinging",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_188,"She sat on the edge of her bed, tears streaming down her face as",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_189,The most beautiful thing I've ever witnessed was a vibrant sunset over the ocean,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_190,Exploring the ancient ruins of Machu Picchu in Peru was an unforgettable,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_191,"The vibrant hues of orange, pink, and purple painted the sky as the",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_192,The most thrilling adventure I've had was white-water rafting down the rap,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_193,"Standing on the summit of the mountain, I felt an overwhelming sense of exhilar",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_194,The moment I held my newborn baby in my arms for the first time was,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v1_t_output_195,The feeling of hearing your favorite song for the first time is like a rush,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_196,The feeling of being completely present in nature is a profound sense of peace and,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_197,What is the true nature of consciousness and how does it interact with the physical,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_198,I made a positive change in my life when I decided to start exercising regularly,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_199,"I believe that empathy is the most important quality a person can have, as",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_200,My favorite actor is Leonardo DiCaprio because of his incredible range and ability,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_201,The day I adopted my dog from the shelter was one of the happiest moments,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_202,"The feeling of having a secret is a mix of excitement, anticipation, and",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_203,"I complimented a coworker on their hard work and dedication, which made",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_204,I felt completely out of my comfort zone when I had to give a presentation,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_205,I felt completely connected to nature when I hiked to the top of a,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_206,My most treasured possession is a locket that holds a photo of my,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_207,"In my strangest dream, I was flying on a giant marshmallow through",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_208,"As I wandered through the forest, I stumbled upon a majestic unicorn with shimmer",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_209,"If I were invisible for a day, I would sneak into a movie theater",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_210,The last time I felt inspired was when I watched a documentary about a successful,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_211,I felt a sense of belonging when I attended my first book club meeting and,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_212,I made a positive change in my life when I started prioritizing self-care,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_213,"We danced until the sun came up, laughing and creating memories that would last",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_214,The first time I achieved something big was when I won first place in the,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_215,"If I were invisible for a day, I would sneak into a high-security",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_216,I got lost in the city while trying to find my friend's apartment for,male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_217,"When I found out I was accepted into my dream college, I was overwhelmed",male,Canadian,Abraham,train,north america (us and canada),spoof
north_america_v_output_218,The sense of peace and tranquility envelops you as you walk through the,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_219,The feeling of reaching the top after a long climb is a mix of exhaustion,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_220,"My favorite childhood memory is spending summers at my grandparents' house, playing in",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_221,"During a particularly difficult time in my life, I found hope when a friend",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_222,"I would love to master the skill of playing the piano, being able to",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_223,"During a heated debate with my colleagues, I finally felt empowered to speak my",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_224,I realized the importance of patience when I was trying to teach my young child,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_225,"If you could choose one superpower to have for a day, what would",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_226,"As I stood on the edge of the Grand Canyon at sunrise, the vibrant",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_227,I discovered a new passion for painting when I tried it for the first time,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_228,I made a positive change in my life when I decided to start practicing mindfulness,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_229,I made a new friend at a networking event last week and we instantly hit,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_230,"When I was going through a tough time, my friend stayed by my side",male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_231,The happiest moment of my life was when I graduated from college and saw my,male,Canadian,Don Boucher,train,north america (us and canada),spoof
north_america_v_output_232,I felt totally alive when I reached the summit of the mountain and took in,male,Canadian,Don Boucher,train,north america (us and canada),spoof
